episode,score,steps,alpha,epsilon
0,96,3,0.6,0
1,96,3,1.0,0
2,96,3,0.757858283255199,0
3,96,3,0.6443940149772542,0
4,96,3,0.5743491774985174,0
5,96,3,0.5253055608807534,0
6,92,5,0.4883593419305869,0
7,-604,3,0.45915654995943406,0
8,96,3,0.43527528164806206,0
9,-602,2,0.41524364653850576,0
10,-600,1,0.3981071705534972,0
11,-604,3,0.38321537573562725,0
12,96,3,0.3701071724871533,0
13,92,5,0.3584451092335435,0
14,-600,1,0.3479755946976367,0
15,-600,1,0.33850375946582717,0
16,-604,3,0.32987697769322355,0
17,96,3,0.321973724524617,0
18,96,3,0.3146958370983006,0
19,-604,3,0.3079630127583798,0
20,96,3,0.30170881682725814,0
21,-604,3,0.29587773273146395,0
22,96,3,0.29042294677199854,0
23,92,5,0.28530466023981976,0
24,-606,4,0.28048878636154984,0
25,92,5,0.27594593229224296,0
26,96,3,0.2716505951249556,0
27,-600,1,0.26758052058674353,0
28,96,3,0.2637161868122579,0
29,-604,3,0.2600403852888841,0
30,-608,5,0.2565378780242026,0
31,-612,7,0.25319511503877523,0
32,96,3,0.24999999999999997,0
33,-606,4,0.24694169457129792,0
34,-602,2,0.2440104541215086,0
35,96,3,0.2411974890085122,0
36,-608,5,0.2384948468508759,0
37,96,3,0.23589531212638196,0
38,94,4,0.23339232015516467,0
39,-600,1,0.23097988308796358,0
40,96,3,0.22865252596366314,0
41,-604,3,0.22640523125235815,0
42,-600,1,0.22423339058130787,0
43,92,5,0.22213276256695122,0
44,96,3,0.22009943585854286,0
45,96,3,0.2181297966470791,0
46,-602,2,0.21622050001405765,0
47,-602,2,0.2143684445937457,0
48,-602,2,0.21257075010429846,0
49,-600,1,0.21082473737065027,0
50,96,3,0.20912791051825463,0
51,96,3,0.20747794106359835,0
52,-604,3,0.20587265366665197,0
53,90,6,0.2043100133433982,0
54,96,3,0.2027881139644019,0
55,-604,3,0.20130516788893235,0
56,-602,2,0.19985949660414515,0
57,96,3,0.19844952225586374,0
58,96,3,0.19707375997205423,0
59,92,5,0.19573081089255695,0
60,88,7,0.19441935582935382,0
61,96,3,0.19313814949088332,0
62,96,3,0.19188601521188883,0
63,94,4,0.190661840137195,0
64,96,3,0.18946457081379975,0
65,96,3,0.1882932091508895,0
66,96,3,0.18714680871193354,0
67,-602,2,0.186024471306991,0
68,94,4,0.184925343856848,0
69,-602,2,0.18384861550365886,0
70,-600,1,0.1827935149454558,0
71,-600,1,0.18175930797425954,0
72,-600,1,0.1807452951996164,0
73,96,3,0.17975080994123677,0
74,96,3,0.17877521627604914,0
75,96,3,0.17781790722643998,0
76,-602,2,0.17687830307774088,0
77,-602,2,0.17595584981417883,0
78,96,3,0.17505001766353065,0
79,94,4,0.17416029974164132,0
