Wall time,Step,Value
1567006720,19,0
1567006760,43,0
1567006766,46,0
1567006812,72,0
1567006852,95,0
1567006964,159,0
1567006980,168,0
1567007087,230,0
1567007095,235,0
1567007132,256,0
1567007163,274,0
1567007224,309,0
1567007227,311,0
1567007241,319,0
1567007422,422,0
1567007489,461,0
1567007513,475,0
1567007623,537,0
1567007670,564,0
1567007699,580,0
1567007711,587,0
1567007796,635,0
1567007819,648,0
1567007845,662,0
1567007862,672,0
1567007939,715,0
1567007953,723,0
1567008039,772,0
1567008064,786,0
1567008068,788,0
1567008095,803,0
1567008105,809,0
1567008157,837,0
1567008354,946,0
1567008401,972,0
1567008402,973,0
1567008413,979,0
1567008463,1006,0
1567008479,1015,0
1567008566,1064,0
1567008571,1067,0
1567008620,1094,0
1567008640,1105,0
1567008741,1162,0
1567008776,1181,0
1567008922,1262,0
1567009023,1317,0
1567009030,1320,1
1567009055,1334,0
1567009062,1338,0
1567009149,1386,0
1567009161,1393,0
1567009200,1415,0
1567009220,1427,0
1567009239,1437,1
1567009293,1467,0
1567009312,1478,0
1567009338,1492,0
1567009395,1524,0
1567009447,1553,0
1567009478,1569,1
1567009507,1585,0
1567009514,1589,0
1567009544,1606,0
1567009609,1641,0
1567009703,1692,0
1567009736,1710,1
1567009753,1719,0
1567009777,1733,0
1567009781,1735,0
1567009786,1738,0
1567009866,1782,0
1567009948,1827,0
1567009981,1845,0
1567009996,1854,0
1567010020,1867,0
1567010025,1870,0
1567010042,1878,1
1567010115,1918,0
1567010145,1935,0
1567010169,1948,0
1567010267,2002,0
1567010334,2037,1
1567010409,2078,0
1567010442,2097,0
1567010619,2188,0
1567010640,2200,0
1567010666,2212,0
1567010701,2232,0
1567010710,2237,0
1567010711,2238,0
1567010747,2258,0
1567010757,2263,0
1567010841,2308,0
1567010866,2320,0
1567010935,2355,0
1567011000,2390,0
1567011002,2391,0
1567011006,2393,1
1567011089,2437,0
1567011119,2454,0
1567011124,2456,0
1567011132,2461,0
1567011178,2486,0
1567011180,2487,0
1567011200,2497,0
1567011205,2499,0
1567011219,2504,2
1567011274,2533,0
1567011304,2548,0
1567011314,2554,0
1567011561,2686,0
1567011665,2741,0
1567011693,2755,0
1567011755,2790,0
1567011960,2897,0
1567012100,2968,0
1567012185,3012,0
1567012237,3039,0
1567012243,3042,0
1567012349,3100,0
1567012474,3162,0
1567012540,3197,0
1567012602,3231,1
1567012628,3245,0
1567012631,3247,0
1567012633,3248,0
1567012741,3306,0
1567012878,3377,0
1567012939,3409,0
1567012983,3431,0
1567013020,3450,1
1567013081,3481,0
1567013323,3601,0
1567013355,3619,0
1567013359,3621,0
1567013458,3671,0
1567013567,3727,0
1567013595,3742,0
1567013693,3794,1
1567013734,3815,0
1567013745,3820,0
1567013748,3822,0
1567013828,3865,0
1567013951,3929,0
1567014001,3957,1
1567014053,3985,0
1567014159,4037,1
1567014282,4099,0
1567014302,4110,0
1567014444,4183,0
1567014470,4197,1
1567014480,4203,0
1567014533,4228,2
1567014542,4233,0
1567014603,4264,0
1567014682,4305,2
1567014706,4318,0
1567014709,4320,0
1567014871,4401,0
1567014938,4434,1
1567015050,4493,0
1567015083,4510,0
1567015124,4531,0
1567015327,4629,1
1567015398,4665,0
1567015406,4669,0
1567015421,4677,0
1567015576,4751,1
1567015660,4789,1
1567015687,4801,0
1567015691,4803,0
1567015767,4841,0
1567015791,4853,0
1567015877,4895,1
1567016026,4963,1
1567016044,4972,0
1567016050,4975,0
1567016204,5051,1
1567016208,5053,1
1567016323,5107,0
1567016378,5135,0
1567016514,5201,1
1567016598,5240,0
1567016784,5330,0
1567016815,5346,0
1567016844,5360,3
1567016975,5421,1
1567017020,5443,0
1567017169,5516,0
1567017174,5518,0
1567017236,5550,0
1567017311,5588,0
1567017463,5661,1
1567017470,5665,0
1567017500,5680,0
1567017588,5721,1
1567017596,5724,0
1567017777,5809,1
1567017815,5826,0
1567017821,5829,1
1567017891,5863,0
1567017895,5865,1
1567017909,5872,0
1567017980,5908,1
1567018023,5929,0
1567018074,5953,0
1567018094,5964,0
1567018154,5991,0
1567018200,6011,1
1567018208,6016,0
1567018420,6122,0
1567018438,6132,0
1567018537,6182,0
1567018576,6201,1
1567018601,6214,0
1567018615,6220,0
1567018641,6233,1
1567018765,6290,1
1567018811,6313,0
1567018822,6318,1
1567018877,6342,2
1567018925,6364,0
1567018954,6377,0
1567019008,6401,1
1567019208,6497,1
1567019253,6521,0
1567019376,6575,0
1567019397,6585,0
1567019438,6604,0
1567019549,6658,0
1567019568,6667,2
1567019630,6697,0
1567019635,6700,0
1567019662,6712,1
1567019723,6739,1
1567019730,6743,0
1567019951,6847,0
1567019973,6855,0
1567020005,6870,0
1567020234,6967,0
1567020286,6993,1
1567020333,7015,1
1567020543,7107,1
1567020564,7115,1
1567020651,7156,0
1567020775,7217,0
1567020837,7248,0
1567020975,7312,0
1567021012,7330,1
1567021033,7340,0
1567021035,7341,0
1567021077,7360,0
1567021126,7383,0
1567021166,7402,2
1567021249,7441,1
1567021273,7451,0
1567021296,7461,0
1567021301,7464,0
1567021336,7479,1
1567021412,7512,3
1567021626,7610,0
1567021702,7645,0
1567021747,7662,0
1567021809,7688,1
1567021819,7694,0
1567021967,7761,0
1567022009,7781,0
1567022024,7789,0
1567022045,7799,0
1567022122,7834,1
1567022283,7901,0
1567022345,7933,0
1567022468,7992,0
1567022548,8027,0
1567022574,8038,1
1567022599,8050,1
1567022636,8067,0
1567022879,8181,0
1567022887,8185,1
1567022956,8216,0
1567022967,8222,0
1567023113,8291,0
1567023220,8335,0
1567023234,8341,0
1567023289,8364,0
1567023301,8369,0
1567023324,8378,3
1567023537,8468,0
1567023543,8471,1
1567023606,8499,0
1567023628,8509,0
1567023755,8567,0
1567023834,8602,0
1567023908,8635,0
1567023910,8636,0
1567023928,8645,0
1567024027,8691,2
1567024038,8696,1
1567024317,8820,0
1567024322,8823,0
1567024369,8844,0
1567024454,8879,0
1567024467,8886,0
1567024501,8903,1
1567024506,8905,0
1567024512,8908,0
1567024557,8929,0
1567024574,8936,1
1567024639,8959,0
1567024677,8976,1
1567024717,8994,0
1567024730,9000,0
1567024753,9010,0
1567024857,9056,1
1567024880,9064,0
1567025245,9227,0
1567025262,9234,1
1567025324,9261,1
1567025430,9308,0
1567025451,9317,0
1567025531,9349,1
1567025578,9370,0
1567025680,9413,1
1567025686,9416,1
1567025737,9436,1
1567025753,9443,2
1567025812,9469,0
1567025980,9539,0
1567025999,9548,0
1567026018,9555,1
1567026053,9568,2
1567026107,9590,0
1567026202,9628,3
1567026277,9658,4
1567026337,9681,1
1567026381,9699,0
1567026547,9769,1
1567026722,9841,2
1567026727,9844,0
1567026827,9884,0
1567026886,9908,1
1567027047,9973,0
1567027227,10051,0
1567027242,10056,0
1567027248,10059,0
1567027304,10085,0
1567027413,10129,0
1567027446,10145,0
1567027498,10169,2
1567027549,10186,3
1567027731,10257,2
1567027784,10277,1
1567027800,10284,1
1567028110,10397,2
1567028117,10400,1
1567028165,10421,0
1567028319,10480,1
1567028345,10490,1
1567028352,10494,0
1567028411,10523,1
1567028494,10555,2
1567028496,10556,0
1567028617,10608,0
1567028659,10625,1
1567028694,10639,0
1567028734,10655,1
1567028779,10672,1
1567028879,10712,2
1567028999,10758,0
1567029001,10759,0
1567029058,10781,1
1567029078,10788,0
1567029153,10816,0
1567029181,10826,0
1567029194,10831,1
1567029216,10842,0
1567029238,10851,1
1567029279,10865,0
1567029370,10903,2
1567029376,10906,0
1567029455,10940,1
1567029463,10944,0
1567029524,10967,6
1567029540,10973,1
1567029543,10975,0
1567029653,11015,0
1567029665,11021,0
1567029703,11034,0
1567029716,11039,0
1567029878,11103,4
1567029921,11122,1
1567029939,11131,0
1567030049,11176,2
1567030095,11199,1
1567030099,11201,0
1567030100,11202,0
1567030256,11261,1
1567030289,11273,0
1567030671,11420,0
1567030798,11473,0
1567030850,11493,1
1567030925,11524,0
1567030948,11533,1
1567030984,11550,2
1567031005,11558,1
1567031025,11567,1
1567031102,11598,0
1567031219,11637,0
1567031261,11649,0
1567031314,11672,1
1567031350,11686,1
1567031354,11688,0
1567031541,11760,1
1567031734,11832,0
1567031852,11874,0
1567032040,11949,1
1567032093,11970,1
1567032106,11975,0
1567032146,11989,0
1567032193,12004,5
1567032211,12011,0
1567032259,12030,1
1567032295,12042,0
1567032572,12139,1
1567032634,12165,0
1567032642,12169,0
1567032683,12185,3
1567032773,12218,0
1567032805,12227,0
1567032973,12291,0
1567032980,12294,2
1567033015,12310,1
1567033268,12397,2
1567033300,12406,1
1567033396,12437,2
1567033453,12459,0
1567033508,12481,0
1567033704,12554,4
1567033885,12626,1
1567034019,12672,1
1567034095,12700,4
1567034264,12759,1
1567034310,12775,0
1567034399,12806,1
1567034479,12835,0
1567034532,12860,0
1567034547,12865,1
1567034591,12878,0
1567034641,12897,2
1567034766,12940,1
1567034822,12960,1
1567034987,13018,1
1567035034,13035,5
1567035115,13062,1
1567035134,13071,2
1567035163,13083,0
1567035193,13095,0
1567035237,13110,1
1567035248,13114,3
1567035290,13131,1
1567035406,13167,3
1567035478,13195,0
1567035516,13207,4
1567035519,13208,2
1567035529,13212,0
1567035616,13240,0
1567035832,13314,0
