Wall time,Step,Value
1567006736.4352865,19,0.0
1567006781.1853366,43,0.0
1567006786.6040742,46,0.0
1567006833.4044628,72,0.0
1567006874.4158347,95,0.0
1567006996.8480322,159,0.0
1567007014.7706525,168,0.0
1567007129.1504648,230,1.0
1567007138.4082348,235,0.0
1567007176.656652,256,0.0
1567007209.0067525,274,0.0
1567007272.9212635,309,0.0
1567007276.4989748,311,0.0
1567007291.1474247,319,0.0
1567007477.3713083,422,0.0
1567007552.1360967,461,0.0
1567007577.3923397,475,0.0
1567007693.2314432,537,0.0
1567007746.3225095,564,0.0
1567007776.8938563,580,0.0
1567007789.8150983,587,0.0
1567007791.5883245,588,0.0
1567007879.28071,635,0.0
1567007904.53139,648,0.0
1567007930.0694568,662,1.0
1567007949.3463042,672,0.0
1567008033.2035472,715,0.0
1567008049.0793316,723,0.0
1567008136.215434,766,0.0
1567008147.107481,772,0.0
1567008174.9290736,786,0.0
1567008180.5861425,788,0.0
1567008209.7274218,803,0.0
1567008222.534128,809,0.0
1567008276.1961782,837,0.0
1567008490.001079,946,0.0
1567008545.829795,972,0.0
1567008549.0068936,973,1.0
1567008559.9650486,979,0.0
1567008614.1218877,1006,0.0
1567008635.4798484,1015,1.0
1567008729.8929992,1064,0.0
1567008736.6712983,1067,1.0
1567008790.5300245,1094,0.0
1567008811.1781917,1105,0.0
1567008919.2130332,1162,0.0
1567008958.6388822,1181,0.0
1567009115.7311363,1262,0.0
1567009229.842406,1317,0.0
1567009235.200859,1320,0.0
1567009260.930687,1334,0.0
1567009269.866886,1338,1.0
1567009361.712998,1386,0.0
1567009374.873573,1393,0.0
1567009419.8312893,1415,0.0
1567009442.3691504,1427,0.0
1567009460.6416152,1437,0.0
1567009517.3630335,1467,0.0
1567009537.9929981,1478,0.0
1567009567.6672997,1492,2.0
1567009627.4970076,1524,0.0
1567009683.135185,1553,0.0
1567009713.522962,1569,0.0
1567009744.052788,1585,0.0
1567009752.6051223,1589,0.0
1567009786.3746421,1606,1.0
1567009856.770398,1641,0.0
1567009960.05168,1692,0.0
1567009997.21383,1710,0.0
1567010015.3964558,1719,0.0
1567010043.9793165,1733,0.0
1567010047.5631468,1735,0.0
1567010054.9435823,1738,1.0
1567010142.73637,1782,0.0
1567010229.7926314,1827,1.0
1567010263.756917,1845,0.0
1567010282.2683032,1854,0.0
1567010308.6493604,1867,0.0
1567010313.9189794,1870,0.0
1567010329.7805977,1878,0.0
1567010407.0341518,1918,0.0
1567010438.362185,1935,0.0
1567010463.867509,1948,0.0
1567010567.198905,2002,0.0
1567010641.1893132,2037,0.0
1567010729.4319544,2078,1.0
1567010747.3934817,2086,2.0
1567010757.1974938,2090,0.0
1567010770.6897798,2097,0.0
1567010978.2665126,2188,0.0
1567011000.2387676,2200,0.0
1567011027.650941,2212,0.0
1567011070.7984486,2232,0.0
1567011082.1575406,2237,0.0
1567011084.5287216,2238,1.0
1567011130.4241927,2258,0.0
1567011140.9508867,2263,0.0
1567011245.4210334,2308,1.0
1567011271.630874,2320,0.0
1567011341.8282487,2355,1.0
1567011419.1515558,2390,0.0
1567011421.1109726,2391,0.0
1567011426.2203898,2393,1.0
1567011524.7152772,2437,1.0
1567011564.884668,2454,0.0
1567011568.7276225,2456,0.0
1567011581.8658571,2461,2.0
1567011634.1428926,2486,0.0
1567011635.9140131,2487,0.0
1567011657.888264,2497,0.0
1567011661.8617,2499,0.0
1567011674.4334977,2504,0.0
1567011735.5163252,2533,3.0
1567011772.4857936,2548,4.0
1567011785.7772698,2554,0.0
1567012064.1345026,2686,0.0
1567012184.3299563,2741,0.0
1567012212.017909,2755,0.0
1567012295.5999417,2790,0.0
1567012527.4036758,2897,0.0
1567012688.4319441,2968,0.0
1567012786.0062063,3012,0.0
1567012844.4575276,3039,0.0
1567012850.0243752,3042,0.0
1567012988.3260543,3100,0.0
1567013122.6807353,3162,0.0
1567013198.6639955,3197,0.0
1567013280.9073443,3231,0.0
1567013311.576198,3245,0.0
1567013315.6968355,3247,0.0
1567013317.8795815,3248,1.0
1567013440.2704687,3306,1.0
1567013612.1026425,3377,0.0
1567013680.5149865,3409,0.0
1567013728.4864864,3431,1.0
1567013763.7309945,3450,0.0
1567013796.538943,3465,0.0
1567013831.1821835,3481,0.0
1567014106.6474307,3601,2.0
1567014145.743459,3619,1.0
1567014150.5793736,3621,1.0
1567014264.2494512,3671,0.0
1567014394.600112,3727,1.0
1567014425.9976447,3742,1.0
1567014544.0844655,3794,0.0
1567014587.0668933,3815,0.0
1567014597.2831278,3820,0.0
1567014601.0055127,3822,0.0
1567014690.5894282,3865,0.0
1567014828.205947,3929,0.0
1567014886.0780385,3957,0.0
1567014950.3697236,3985,0.0
1567015056.81073,4034,0.0
1567015064.6639807,4037,1.0
1567015189.273851,4094,0.0
1567015200.7748032,4099,0.0
1567015222.410436,4110,0.0
1567015383.2059398,4183,0.0
1567015409.3836355,4195,0.0
1567015413.0818691,4197,0.0
1567015425.6448803,4203,1.0
1567015483.166758,4228,2.0
1567015496.5355837,4233,1.0
1567015503.147296,4236,0.0
1567015561.8830776,4264,1.0
1567015567.6625035,4267,0.0
1567015659.7266688,4305,1.0
1567015689.0609028,4318,1.0
1567015693.0760705,4320,1.0
1567015871.8657763,4401,0.0
1567015947.7628016,4434,0.0
1567016084.9174562,4493,0.0
1567016129.625031,4510,1.0
1567016174.2616508,4531,1.0
1567016293.888298,4582,0.0
1567016393.185896,4629,0.0
1567016480.522174,4665,0.0
1567016490.9394703,4669,0.0
1567016512.6349657,4677,0.0
1567016597.6673188,4714,0.0
1567016692.7821534,4751,2.0
1567016710.845094,4759,1.0
1567016784.2040427,4789,0.0
1567016819.3025203,4801,1.0
1567016823.7426188,4803,1.0
1567016925.0537465,4841,1.0
1567016954.0051413,4853,1.0
1567017060.6628788,4895,0.0
1567017238.9635234,4963,0.0
1567017264.2162375,4972,2.0
1567017269.7560203,4975,0.0
1567017452.664465,5051,1.0
1567017456.4354272,5053,0.0
1567017587.4343731,5107,0.0
1567017655.0878,5135,1.0
1567017826.5757837,5201,0.0
1567017922.904143,5240,1.0
1567018160.1164565,5330,1.0
1567018198.6289947,5346,0.0
1567018241.1112466,5360,0.0
1567018392.5991583,5421,0.0
1567018448.343494,5443,0.0
1567018626.8314037,5516,0.0
1567018632.1306763,5518,1.0
1567018715.3695118,5550,2.0
1567018813.3247175,5588,2.0
1567018983.2465918,5661,0.0
1567018994.0033026,5665,2.0
1567019027.7291873,5680,0.0
1567019133.435033,5721,2.0
1567019141.8327804,5724,2.0
1567019279.6895366,5777,0.0
1567019362.55839,5809,2.0
1567019407.7015405,5826,1.0
1567019414.3119538,5829,0.0
1567019497.795692,5863,1.0
1567019504.3233936,5865,2.0
1567019519.4915597,5872,0.0
1567019623.5335088,5908,1.0
1567019671.6246994,5929,0.0
1567019730.7878869,5953,0.0
1567019760.7137418,5964,0.0
1567019832.1327631,5991,0.0
1567019890.3692398,6011,0.0
1567019901.4150512,6016,0.0
1567020191.989781,6122,1.0
1567020215.3351338,6132,0.0
1567020331.3202658,6182,0.0
1567020385.271097,6201,1.0
1567020420.5950975,6214,2.0
1567020432.1241248,6220,0.0
1567020459.9505372,6233,1.0
1567020599.9568748,6290,2.0
1567020657.685797,6313,1.0
1567020668.028239,6318,0.0
1567020728.6545088,6342,1.0
1567020785.1125798,6364,0.0
1567020817.7178557,6377,0.0
1567020877.7884994,6401,1.0
1567021146.3234851,6497,2.0
1567021155.1856346,6501,1.0
1567021207.1300697,6521,0.0
1567021359.0152192,6575,1.0
1567021385.5066328,6585,2.0
1567021439.7980926,6604,0.0
1567021600.914058,6658,1.0
1567021620.7503862,6667,0.0
1567021658.720812,6682,0.0
1567021697.7878182,6697,0.0
1567021705.590279,6700,1.0
1567021732.5738902,6712,0.0
1567021805.6536498,6739,0.0
1567021816.9402938,6743,0.0
1567021842.8160598,6754,0.0
1567022088.8056402,6847,0.0
1567022107.9037251,6855,0.0
1567022147.1175847,6870,4.0
1567022402.5279708,6967,0.0
1567022471.1807904,6993,2.0
1567022526.3076375,7015,3.0
1567022782.0356138,7107,3.0
1567022802.9844272,7115,0.0
1567022918.1340022,7156,1.0
1567023098.8939145,7217,0.0
1567023187.543369,7248,1.0
1567023335.8109314,7301,0.0
1567023365.0093682,7312,2.0
1567023420.795956,7330,0.0
1567023449.1275828,7340,1.0
1567023453.4175816,7341,2.0
1567023500.9430146,7360,0.0
1567023561.2659373,7383,3.0
1567023610.955223,7402,2.0
1567023714.7765217,7441,0.0
1567023723.4357226,7444,1.0
1567023739.2811034,7451,0.0
1567023768.6713076,7461,0.0
1567023776.0037172,7464,0.0
1567023815.8667448,7479,1.0
1567023907.512144,7512,1.0
1567024167.071094,7610,1.0
1567024271.5038738,7645,1.0
1567024313.3674963,7662,0.0
1567024350.5752308,7677,0.0
1567024377.6180174,7688,0.0
1567024397.871467,7694,1.0
1567024572.536244,7761,1.0
1567024624.7151444,7781,1.0
1567024654.635254,7789,0.0
1567024681.9461358,7799,0.0
1567024783.4109993,7834,1.0
1567024959.4898677,7901,0.0
1567025053.7910714,7933,1.0
1567025217.087931,7992,2.0
1567025307.4495082,8027,2.0
1567025336.4824574,8038,1.0
1567025377.2517376,8050,2.0
1567025413.4301994,8067,0.0
1567025733.661011,8181,0.0
1567025745.6604168,8185,1.0
1567025828.2159274,8216,3.0
1567025847.7080667,8222,0.0
1567026002.6875038,8280,0.0
