Wall time,Step,Value
1571903736,19,0
1571903766,43,0
1571903773,46,0
1571903826,72,0
1571903878,95,0
1571904007,159,1
1571904022,168,0
1571904137,230,0
1571904141,235,0
1571904185,256,0
1571904224,274,0
1571904303,309,0
1571904308,311,0
1571904323,319,0
1571904548,422,0
1571904637,461,0
1571904671,475,0
1571904817,537,0
1571904880,564,0
1571904917,580,0
1571904933,587,0
1571904935,588,0
1571905041,635,0
1571905071,648,0
1571905105,662,0
1571905129,672,0
1571905231,715,0
1571905249,723,0
1571905346,766,0
1571905360,772,0
1571905393,786,0
1571905397,788,0
1571905432,803,0
1571905445,809,0
1571905509,837,0
1571905757,946,0
1571905817,972,0
1571905819,973,0
1571905833,979,0
1571905893,1006,0
1571905914,1015,0
1571906025,1064,0
1571906032,1067,0
1571906089,1094,0
1571906115,1105,0
1571906242,1162,0
1571906288,1181,0
1571906474,1262,0
1571906601,1317,0
1571906608,1320,0
1571906639,1334,0
1571906649,1338,0
1571906760,1386,0
1571906776,1393,0
1571906828,1415,0
1571906857,1427,0
1571906881,1437,0
1571906953,1467,0
1571906979,1478,0
1571907010,1492,0
1571907085,1524,0
1571907152,1553,0
1571907190,1569,0
1571907228,1585,0
1571907238,1589,0
1571907277,1606,0
1571907360,1641,0
1571907480,1692,0
1571907521,1710,0
1571907542,1719,0
1571907575,1733,0
1571907580,1735,0
1571907587,1738,0
1571907688,1782,0
1571907794,1827,0
1571907836,1845,0
1571907857,1854,0
1571907888,1867,0
1571907895,1870,0
1571907913,1878,0
1571908008,1918,0
1571908043,1935,0
1571908073,1948,0
1571908197,2002,0
1571908278,2037,0
1571908374,2078,0
1571908393,2086,0
1571908403,2090,0
1571908420,2097,0
1571908635,2188,0
1571908664,2200,0
1571908692,2212,0
1571908739,2232,0
1571908751,2237,0
1571908753,2238,0
1571908799,2258,0
1571908811,2263,0
1571908918,2308,0
1571908944,2320,0
1571909025,2355,0
1571909105,2390,0
1571909107,2391,0
1571909112,2393,0
1571909214,2437,0
1571909254,2454,0
1571909260,2456,0
1571909273,2461,0
1571909334,2486,0
1571909337,2487,0
1571909357,2497,0
1571909362,2499,0
1571909374,2504,0
1571909442,2533,0
1571909477,2548,0
1571909491,2554,0
1571909806,2686,0
1571909938,2741,0
1571909972,2755,0
1571910054,2790,0
1571910318,2897,0
1571910484,2968,0
1571910590,3012,0
1571910657,3039,0
1571910664,3042,0
1571910805,3100,0
1571910954,3162,0
1571911038,3197,0
1571911121,3231,0
1571911155,3245,0
1571911160,3247,0
1571911163,3248,0
1571911304,3306,1
1571911478,3377,0
1571911555,3409,0
1571911610,3431,0
1571911655,3450,0
1571911695,3465,0
1571911734,3481,0
1571912053,3601,0
1571912101,3619,1
1571912106,3621,0
1571912239,3671,0
1571912394,3727,0
1571912433,3742,1
1571912567,3794,0
1571912625,3815,0
1571912639,3820,1
1571912645,3822,0
1571912763,3865,0
1571912932,3929,0
1571913005,3957,0
1571913078,3985,0
1571913222,4034,1
1571913232,4037,0
1571913387,4094,0
1571913401,4099,0
1571913430,4110,1
1571913626,4183,0
1571913662,4197,0
1571913676,4203,0
1571913743,4228,0
1571913756,4233,0
1571913765,4236,0
1571913844,4264,0
1571913852,4267,0
1571913966,4305,0
1571914011,4318,0
1571914017,4320,1
1571914264,4401,0
1571914353,4434,1
1571914522,4493,1
1571914571,4510,0
1571914637,4531,0
1571914779,4582,1
1571914921,4629,0
1571915029,4665,1
1571915041,4669,1
1571915068,4677,1
1571915173,4714,0
1571915279,4751,1
1571915395,4789,1
1571915432,4801,1
1571915437,4803,1
1571915547,4841,0
1571915577,4853,0
1571915707,4895,0
1571915920,4963,0
1571915947,4972,0
1571915961,4975,1
1571916185,5051,1
1571916193,5053,1
1571916359,5107,0
1571916446,5135,0
1571916630,5201,0
1571916764,5240,0
1571917039,5330,1
1571917089,5346,0
1571917129,5360,1
1571917321,5421,0
1571917391,5443,1
1571917603,5516,1
1571917610,5518,1
1571917704,5550,0
1571917822,5588,1
1571918052,5661,1
1571918062,5665,0
1571918104,5680,1
1571918240,5721,0
1571918247,5724,0
1571918406,5777,0
1571918505,5809,0
1571918562,5826,0
1571918569,5829,0
1571918685,5863,0
1571918689,5865,0
1571918710,5872,1
1571918815,5908,1
1571918887,5929,5
1571918957,5953,1
1571918995,5964,0
1571919077,5991,1
1571919141,6011,0
1571919157,6016,0
1571919498,6122,0
1571919534,6132,1
1571919707,6182,2
1571919764,6201,0
1571919803,6214,1
1571919824,6220,1
1571919862,6233,0
1571920050,6290,0
1571920130,6313,0
1571920151,6318,0
1571920233,6342,3
1571920303,6364,1
1571920338,6377,0
1571920408,6401,0
1571920717,6497,2
1571920734,6501,1
1571920795,6521,1
1571920949,6575,0
1571920977,6585,1
1571921040,6604,2
1571921205,6658,0
1571921233,6667,0
1571921347,6697,2
1571921356,6700,0
1571921391,6712,0
1571921483,6739,0
1571921494,6743,1
1571921525,6754,1
1571921819,6847,0
1571921837,6855,0
1571921884,6870,2
1571922167,6967,0
1571922246,6993,1
1571922310,7015,0
1571922611,7107,1
1571922637,7115,0
1571922762,7156,0
1571922956,7217,0
1571923069,7248,1
1571923272,7312,0
1571923326,7330,0
1571923357,7340,0
1571923359,7341,0
1571923419,7360,2
1571923497,7383,3
1571923562,7402,2
1571923694,7441,1
1571923724,7451,1
1571923758,7461,1
1571923767,7464,0
1571923812,7479,0
1571923926,7512,1
1571924219,7610,1
1571924333,7645,1
1571924390,7662,1
1571924473,7688,1
1571924489,7694,0
1571924718,7761,0
1571924778,7781,0
1571924802,7789,1
1571924833,7799,0
1571924949,7834,1
1571925168,7901,0
1571925277,7933,1
1571925459,7992,0
1571925573,8027,0
1571925613,8038,0
1571925644,8050,0
1571925699,8067,0
1571926070,8181,0
1571926083,8185,0
1571926186,8216,0
1571926204,8222,1
1571926400,8280,2
1571926432,8291,0
1571926569,8335,1
1571926590,8341,1
1571926673,8364,1
1571926689,8369,1
1571926715,8378,0
1571927010,8468,0
1571927020,8471,0
1571927114,8499,1
1571927148,8509,0
1571927324,8567,1
1571927397,8593,1
1571927422,8602,0
1571927521,8635,0
1571927525,8636,1
1571927555,8645,0
1571927709,8691,0
1571927725,8696,0
1571928150,8820,1
1571928157,8823,0
1571928228,8844,2
1571928343,8879,0
1571928367,8886,0
1571928432,8903,2
1571928438,8905,1
1571928451,8908,2
1571928518,8929,0
1571928540,8936,1
1571928613,8959,1
1571928675,8976,0
1571928738,8994,0
1571928761,9000,0
1571928798,9010,0
1571928983,9056,1
1571929012,9064,0
1571929594,9227,1
1571929628,9234,0
1571929726,9261,0
1571929903,9308,0
1571929934,9317,0
1571930068,9349,1
1571930141,9370,1
1571930285,9413,1
1571930300,9416,4
1571930365,9436,0
1571930387,9443,1
1571930470,9469,1
1571930719,9539,1
1571930746,9548,0
1571930782,9555,0
1571930830,9568,0
1571930897,9590,0
1571931022,9628,1
1571931113,9652,1
1571931132,9658,2
1571931205,9681,2
1571931273,9699,0
1571931549,9769,1
1571931819,9841,2
1571931831,9844,2
1571931981,9884,0
1571932075,9908,1
1571932311,9973,1
1571932595,10051,1
1571932611,10056,2
1571932621,10059,1
1571932713,10085,0
1571932789,10108,1
1571932859,10129,1
1571932904,10145,1
1571932982,10169,1
1571933045,10186,0
1571933320,10257,1
1571933387,10277,2
1571933419,10284,3
1571933851,10397,2
1571933866,10400,0
1571933942,10421,1
1571933961,10426,1
1571934168,10480,0
1571934209,10490,1
1571934221,10494,0
1571934358,10523,3
1571934475,10555,0
1571934478,10556,0
1571934672,10608,1
1571934734,10625,1
1571934791,10639,2
1571934859,10655,0
1571934918,10672,1
1571935044,10712,0
1571935197,10749,1
1571935225,10758,1
1571935228,10759,0
1571935321,10781,1
1571935352,10788,0
1571935460,10816,1
1571935494,10826,1
1571935515,10831,1
1571935563,10842,1
1571935597,10851,0
1571935650,10865,1
1571935816,10903,0
1571935825,10906,1
1571935950,10940,1
1571935964,10944,0
1571936047,10967,0
1571936065,10973,2
1571936073,10975,0
1571936234,11015,1
1571936257,11021,0
1571936316,11034,1
1571936338,11039,2
1571936593,11103,0
1571936670,11122,1
1571936711,11131,2
1571936898,11176,0
1571936994,11199,2
1571936999,11201,0
1571937002,11202,1
1571937210,11261,1
1571937247,11273,0
1571937386,11311,1
1571937558,11362,0
1571937792,11420,1
1571938003,11473,2
1571938087,11493,2
1571938204,11524,2
1571938234,11533,0
1571938288,11550,1
1571938313,11558,1
1571938345,11567,0
1571938457,11598,0
1571938620,11637,2
1571938663,11649,0
1571938710,11661,0
1571938758,11672,0
1571938808,11686,3
1571938815,11688,1
1571938957,11724,0
1571939103,11760,1
1571939216,11787,0
1571939378,11832,0
1571939546,11874,0
1571939770,11934,1
1571939809,11947,1
1571939816,11949,1
1571939904,11970,1
1571939928,11975,4
1571939990,11989,6
1571940054,12004,0
1571940074,12011,1
1571940154,12030,2
1571940215,12042,4
1571940578,12139,1
1571940643,12154,0
1571940688,12165,1
1571940697,12169,0
1571940753,12185,0
1571940890,12218,1
1571940926,12227,3
1571941182,12291,0
1571941190,12294,0
1571941242,12310,1
1571941569,12397,0
1571941596,12406,1
1571941722,12437,1
1571941798,12459,3
1571941881,12481,2
1571942151,12554,0
1571942434,12626,0
1571942595,12672,1
1571942704,12700,2
1571942952,12759,1
1571943021,12775,4
1571943148,12806,1
1571943273,12835,2
1571943387,12860,0
1571943410,12865,1
1571943461,12878,4
1571943529,12897,1
1571943680,12940,2
1571943759,12960,1
1571944003,13018,2
1571944066,13035,0
1571944159,13062,6
1571944162,13063,0
1571944191,13071,0
1571944247,13083,3
1571944287,13095,0
1571944334,13110,0
1571944355,13114,1
1571944422,13131,4
1571944545,13167,0
1571944615,13182,2
1571944659,13192,0
1571944668,13195,1
1571944712,13207,1
1571944716,13208,2
1571944730,13212,0
1571944839,13240,1
1571945139,13314,0
1571945292,13350,1
1571945513,13403,0
1571945525,13407,0
1571945624,13427,0
1571945827,13476,2
1571945954,13505,1
1571946138,13547,0
1571946335,13598,2
1571946399,13613,2
1571946429,13621,0
1571946451,13627,0
1571946657,13680,0
1571946678,13683,0
1571946859,13723,0
1571946958,13748,0
1571946984,13755,1
1571947080,13777,2
1571947227,13811,0
1571947399,13846,2
1571947501,13869,0
1571947558,13885,0
1571947754,13938,2
1571947830,13958,1
1571947842,13961,2
1571947893,13971,2
1571947917,13977,0
1571948002,13999,0
1571948371,14081,3
1571948711,14162,2
1571948954,14222,2
1571948980,14228,3
1571949061,14251,3
1571949227,14288,1
1571949229,14289,0
1571949249,14295,0
1571949295,14304,0
1571949364,14321,1
1571949419,14333,1
1571949445,14339,1
1571949679,14398,2
1571949881,14448,0
1571950077,14495,1
1571950225,14531,2
1571950330,14555,0
1571950344,14558,1
1571950624,14633,1
1571950647,14639,3
1571950765,14669,1
1571950801,14678,1
1571950823,14682,0
1571950849,14688,1
1571951071,14747,2
1571951208,14780,1
1571951211,14781,0
1571951240,14789,0
1571951254,14793,0
1571951312,14810,0
1571951484,14847,0
1571951595,14874,1
1571951682,14893,2
1571951809,14926,1
1571951811,14927,0
1571951924,14951,2
1571952257,15028,3
1571952535,15091,2
1571952733,15133,0
1571952749,15137,1
1571952955,15181,2
1571953036,15200,0
1571953299,15267,1
1571953326,15274,2
1571953593,15325,1
1571953675,15342,1
1571953697,15348,1
1571954063,15429,0
1571954186,15457,1
1571954257,15474,1
1571954274,15476,7
1571954450,15508,6
1571954592,15539,0
1571954833,15598,1
1571955481,15741,1
1571955587,15765,1
1571955633,15774,2
1571955667,15780,3
1571955879,15826,1
1571955893,15829,5
1571955989,15848,3
1571956096,15867,6
1571956645,15980,6
1571956678,15988,0
1571956710,15994,1
1571957010,16057,1
1571957199,16096,0
1571957298,16117,1
1571957543,16176,1
1571957586,16189,0
1571957642,16199,0
1571957658,16203,0
1571957865,16250,1
1571958201,16322,1
1571958303,16344,1
1571958376,16361,1
1571958577,16407,2
1571958741,16441,1
1571959042,16506,1
1571959282,16560,1
1571959397,16586,0
1571959428,16591,4
1571959781,16662,1
1571959802,16666,1
1571959972,16698,1
1571960213,16747,0
1571960490,16809,1
1571960494,16810,1
1571960593,16835,0
1571960631,16844,1
1571960689,16858,1
1571960846,16900,0
1571960975,16925,5
1571961664,17067,2
1571961807,17098,4
1571961965,17132,2
1571962075,17155,1
1571962252,17193,1
1571962326,17203,1
1571962475,17240,0
1571962514,17248,0
1571962589,17262,2
1571962637,17273,2
1571962715,17291,1
1571962724,17293,1
1571962831,17316,1
1571962833,17317,0
1571962841,17318,3
1571962853,17321,2
1571962942,17340,0
1571963111,17375,1
1571963193,17392,0
1571963264,17406,0
1571963401,17427,2
1571963460,17437,1
1571963496,17445,0
1571963544,17455,4
1571963781,17504,0
1571963820,17512,1
1571963972,17544,0
1571964032,17558,3
1571964066,17564,5
1571964127,17578,2
1571964171,17587,1
1571964197,17594,0
1571964201,17595,1
1571964225,17599,4
1571964340,17624,2
1571964376,17634,0
1571964452,17654,0
1571964515,17668,2
1571964687,17704,0
1571964762,17723,2
1571964976,17772,0
1571964979,17773,1
1571965008,17778,3
1571965145,17805,1
1571965330,17843,0
1571965859,17954,2
1571965901,17963,3
1571965987,17979,5
1571966002,17982,0
1571966049,17991,1
1571966179,18019,0
1571966360,18053,2
1571966367,18054,3
1571966417,18066,2
1571966619,18105,0
1571966712,18130,1
1571966806,18147,1
1571967023,18191,0
1571967142,18215,1
1571967246,18237,1
1571967380,18265,0
1571967661,18319,2
1571967865,18363,3
1571968322,18452,1
1571968326,18453,1
1571968805,18540,2
1571968838,18548,1
1571969060,18593,2
1571969327,18653,3
1571969644,18714,3
1571969682,18721,3
1571969809,18750,1
1571970007,18787,2
1571970075,18804,3
1571970266,18846,0
1571970513,18894,4
1571970694,18934,3
1571970825,18959,0
1571970930,18978,3
