Wall time,Step,Value
1569720421.563693,19,0.0
1569720444.9235456,43,0.0
1569720450.256295,46,0.0
1569720489.9296517,72,0.0
1569720528.7610688,95,0.0
1569720626.4483707,159,1.0
1569720638.2961411,168,0.0
1569720725.999313,230,0.0
1569720729.6861238,235,0.0
1569720764.196641,256,0.0
1569720793.067754,274,0.0
1569720852.2232592,309,0.0
1569720855.5291636,311,0.0
1569720867.2671816,319,0.0
1569721027.2283702,422,0.0
1569721093.5285149,461,0.0
1569721118.377594,475,0.0
1569721227.4157007,537,0.0
1569721273.3211815,564,0.0
1569721301.8166246,580,0.0
1569721314.5674102,587,0.0
1569721316.3065999,588,0.0
1569721399.2299764,635,0.0
1569721420.4049482,648,0.0
1569721444.5773573,662,0.0
1569721461.301693,672,0.0
1569721533.9552176,715,0.0
1569721548.0275176,723,0.0
1569721620.431242,766,0.0
1569721630.7565386,772,0.0
1569721654.8707178,786,0.0
1569721658.600384,788,0.0
1569721684.1617277,803,0.0
1569721694.6596777,809,0.0
1569721741.1352687,837,0.0
1569721922.9423108,946,0.0
1569721966.5227668,972,0.0
1569721968.2808578,973,0.0
1569721979.0861528,979,0.0
1569722025.4236317,1006,0.0
1569722040.2186222,1015,0.0
1569722122.1412609,1064,0.0
1569722126.1000624,1067,0.0
1569722169.5256321,1094,0.0
1569722184.9174914,1105,0.0
1569722277.8951654,1162,0.0
1569722305.7987423,1181,0.0
1569722433.5522306,1262,0.0
1569722524.069194,1317,0.0
1569722529.1352232,1320,0.0
1569722551.9826596,1334,0.0
1569722558.4059267,1338,0.0
1569722632.3573492,1386,0.0
1569722644.1003351,1393,0.0
1569722680.4676194,1415,0.0
1569722700.5762136,1427,0.0
1569722717.4544713,1437,0.0
1569722764.560933,1467,0.0
1569722780.038296,1478,0.0
1569722801.7381043,1492,0.0
1569722855.2672427,1524,0.0
1569722902.7940204,1553,0.0
1569722929.0182211,1569,0.0
1569722953.815119,1585,0.0
1569722960.4575527,1589,0.0
1569722987.3778334,1606,0.0
1569723043.4172945,1641,0.0
1569723125.9297726,1692,0.0
1569723155.3302143,1710,0.0
1569723168.9096231,1719,0.0
1569723191.6532845,1733,0.0
1569723194.9589245,1735,0.0
1569723198.7300615,1738,0.0
1569723268.305536,1782,0.0
1569723340.3737242,1827,0.0
1569723370.4748573,1845,0.0
1569723384.211322,1854,0.0
1569723404.3119104,1867,0.0
1569723409.5370655,1870,0.0
1569723421.7034118,1878,0.0
1569723485.1427362,1918,0.0
1569723512.9741066,1935,0.0
1569723533.079301,1948,0.0
1569723622.643795,2002,0.0
1569723683.3585813,2037,0.0
1569723749.04942,2078,0.0
1569723761.4130583,2086,0.0
1569723767.759903,2090,0.0
1569723778.753933,2097,0.0
1569723927.676391,2188,0.0
1569723947.1005738,2200,0.0
1569723966.3201613,2212,0.0
1569723999.42645,2232,0.0
1569724007.777379,2237,0.0
1569724009.7025304,2238,1.0
1569724041.7081652,2258,0.0
1569724050.2046587,2263,0.0
1569724122.0723581,2308,0.0
1569724142.5357976,2320,0.0
1569724198.9335833,2355,0.0
1569724253.6058967,2390,0.0
1569724255.3759751,2391,0.0
1569724258.4732885,2393,0.0
1569724330.412854,2437,0.0
1569724357.2572978,2454,0.0
1569724360.4693077,2456,0.0
1569724366.5365973,2461,0.0
1569724405.0580227,2486,0.0
1569724406.91452,2487,0.0
1569724422.1113942,2497,0.0
1569724425.3453364,2499,0.0
1569724432.5571833,2504,0.0
1569724476.678946,2533,0.0
1569724500.2523935,2548,0.0
1569724508.8830512,2554,0.0
1569724727.8331168,2686,0.0
1569724817.7554772,2741,0.0
1569724841.215564,2755,0.0
1569724898.2071664,2790,0.0
1569725071.8677354,2897,0.0
1569725187.8697524,2968,0.0
1569725257.9711502,3012,0.0
1569725304.1286771,3039,0.0
1569725308.8103762,3042,0.0
1569725405.5860834,3100,0.0
1569725505.8838017,3162,0.0
1569725562.4704995,3197,0.0
1569725622.0702412,3231,2.0
1569725644.7446766,3245,0.0
1569725648.173263,3247,0.0
1569725649.8205404,3248,0.0
1569725743.9529297,3306,0.0
1569725866.2216687,3377,0.0
1569725922.2598612,3409,0.0
1569725957.198603,3431,0.0
1569725991.8423471,3450,1.0
1569726018.282711,3465,0.0
1569726044.9367342,3481,1.0
1569726250.9755223,3601,0.0
1569726283.2955844,3619,0.0
1569726286.523949,3621,0.0
1569726345.9614427,3657,0.0
1569726369.9158978,3671,0.0
1569726474.4180064,3727,0.0
1569726499.4943426,3742,0.0
1569726584.3176706,3794,0.0
1569726621.2329235,3815,0.0
1569726629.0273948,3820,0.0
1569726632.1767025,3822,0.0
1569726712.429453,3865,0.0
1569726827.085895,3929,0.0
1569726877.8020723,3957,0.0
1569726930.0531027,3985,0.0
1569727011.280516,4034,0.0
1569727018.4181452,4037,1.0
1569727128.800074,4094,1.0
1569727137.1765237,4099,1.0
1569727158.4379933,4110,1.0
1569727295.782604,4183,1.0
1569727316.5280354,4195,0.0
1569727319.5501893,4197,0.0
