Wall time,Step,Value
1571845763.8664975,19,0.0
1571845825.904475,43,0.0
1571845833.7211287,46,0.0
1571845898.2935655,72,0.0
1571845955.2268162,95,0.0
1571846115.9982257,159,0.0
1571846138.1708145,168,0.0
1571846309.1558585,230,0.0
1571846321.2973666,235,0.0
1571846373.5942352,256,0.0
1571846418.2014318,274,0.0
1571846505.0166812,309,0.0
1571846509.8906736,311,0.0
1571846529.7027385,319,0.0
1571846789.61287,422,0.0
1571846887.9142218,461,0.0
1571846923.4763105,475,0.0
1571847076.9890602,537,0.0
1571847144.7140052,564,1.0
1571847183.9712138,580,0.0
1571847201.2616692,587,0.0
1571847321.1470797,635,0.0
1571847354.6766553,648,0.0
1571847388.5040638,662,0.0
1571847416.4680827,672,0.0
1571847526.8547084,715,0.0
1571847546.1989827,723,0.0
1571847672.426014,772,1.0
1571847708.1268046,786,0.0
1571847712.9597962,788,0.0
1571847750.8455768,803,1.0
1571847768.6685297,809,0.0
1571847839.7278695,837,0.0
1571848127.6794655,946,1.0
1571848200.8687775,972,1.0
1571848203.3995082,973,0.0
1571848219.0369105,979,0.0
1571848286.3917837,1006,0.0
1571848310.422636,1015,0.0
1571848443.1966205,1064,0.0
1571848451.933737,1067,1.0
1571848527.7718053,1094,0.0
1571848555.934876,1105,0.0
1571848714.7884822,1162,0.0
1571848763.5999577,1181,0.0
1571848980.320181,1262,0.0
1571849129.7940025,1317,1.0
1571849137.3976123,1320,0.0
1571849173.9627774,1334,0.0
1571849184.4003375,1338,0.0
1571849310.5934958,1386,0.0
1571849328.4956255,1393,0.0
1571849389.287395,1415,1.0
1571849421.5511577,1427,0.0
1571849448.6616676,1437,0.0
1571849523.537449,1467,0.0
1571849550.354652,1478,1.0
1571849586.9489074,1492,1.0
1571849667.710697,1524,0.0
1571849747.51406,1553,0.0
1571849790.5014265,1569,0.0
1571849831.7608306,1585,0.0
1571849841.3941991,1589,0.0
1571849887.656366,1606,0.0
1571849979.0166235,1641,0.0
1571850116.9140801,1692,0.0
1571850169.2414129,1710,0.0
1571850191.1565502,1719,0.0
1571850230.666512,1733,0.0
1571850235.1867917,1735,0.0
1571850242.1176653,1738,0.0
1571850364.4977615,1782,2.0
1571850483.2120783,1827,0.0
1571850530.5304601,1845,0.0
1571850557.0592756,1854,0.0
1571850588.9279172,1867,0.0
1571850596.029961,1870,0.0
1571850615.8848486,1878,0.0
1571850726.5754867,1918,0.0
1571850769.144257,1935,1.0
1571850802.871252,1948,0.0
1571850943.5097258,2002,0.0
1571851036.894819,2037,0.0
1571851157.5582502,2078,0.0
1571851184.1556726,2086,0.0
1571851196.5454628,2090,0.0
1571851212.9795423,2097,0.0
1571851467.44864,2188,0.0
1571851499.6113086,2200,0.0
1571851532.476423,2212,0.0
1571851583.147653,2232,0.0
1571851595.1457977,2237,0.0
1571851597.2827253,2238,0.0
1571851646.9487338,2258,0.0
1571851660.4965243,2263,0.0
1571851791.2639673,2308,0.0
1571851823.008049,2320,1.0
1571851920.948097,2355,2.0
1571852022.0392213,2390,0.0
1571852024.3690548,2391,0.0
1571852029.0224726,2393,0.0
1571852150.1623032,2437,0.0
1571852197.998375,2454,0.0
1571852203.1237025,2456,0.0
1571852216.9696562,2461,2.0
1571852283.610539,2486,0.0
1571852286.075627,2487,0.0
1571852310.5307243,2497,0.0
1571852315.3992941,2499,0.0
1571852328.7438447,2504,0.0
